City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Trincomalee,LK,2023-01-28 17:50:53,8.5711,81.2335,76.82,76,95,10.02
113,Itoman,JP,2023-01-28 17:50:53,26.1247,127.6694,53.62,76,75,10.36
114,Daru,PG,2023-01-28 17:50:53,-9.0763,143.2092,79.81,83,86,4.34
115,Inuvik,CA,2023-01-28 17:50:29,68.3499,-133.7218,-5.04,81,20,11.5
116,Bathsheba,BB,2023-01-28 17:50:54,13.2167,-59.5167,83.01,57,40,21.85
117,Georgetown,MY,2023-01-28 17:47:49,5.4112,100.3354,80.53,78,20,9.22
118,Guerrero Negro,MX,2023-01-28 17:50:54,27.9769,-114.0611,62.87,41,95,4.43
119,Bengbu,CN,2023-01-28 17:50:54,32.9408,117.3608,31.6,41,0,6.38
120,Kungurtug,RU,2023-01-28 17:50:55,50.5994,97.5228,-6.21,96,68,1.97
121,Saint-Philippe,RE,2023-01-28 17:50:55,-21.3585,55.7679,80.19,90,100,1.32
122,Mocuba,MZ,2023-01-28 17:50:55,-16.8392,36.9856,78.13,76,79,4.29
123,Sao Felix Do Xingu,BR,2023-01-28 17:50:56,-6.6447,-51.995,82.02,76,98,1.79
124,Hermsdorf,DE,2023-01-28 17:50:56,50.9,11.8667,30.31,81,100,3.18
125,Havoysund,NO,2023-01-28 17:50:56,70.9963,24.6622,34.03,75,99,27.76
126,Kampot,KH,2023-01-28 17:50:57,10.6167,104.1833,78.85,58,93,11.54
127,Severo-Kurilsk,RU,2023-01-28 17:50:57,50.6789,156.125,24.66,81,100,13.8
128,Castro,BR,2023-01-28 17:50:57,-24.7911,-50.0119,83.14,42,1,5.86
129,Quime,BO,2023-01-28 17:50:58,-16.9833,-67.2167,60.8,67,99,6.42
130,Tarazona,ES,2023-01-28 17:50:58,41.9,-1.7333,37.22,78,51,22.46
131,Inirida,CO,2023-01-28 17:50:58,3.8653,-67.9239,93.22,39,14,3.15
132,Tongzi,CN,2023-01-28 17:50:58,28.7829,105.0877,45.57,51,1,1.19
133,Mandera,KE,2023-01-28 17:50:59,3.9366,41.867,86.72,22,1,10.54
134,Grindavik,IS,2023-01-28 17:50:59,63.8424,-22.4338,39.67,87,75,16.11
135,Lazaro Cardenas,MX,2023-01-28 17:50:59,17.9583,-102.2,85.05,31,4,6.51
136,Bardiyah,LY,2023-01-28 17:51:00,31.7561,25.0865,58.89,62,7,6.6
137,Santiago De Cao,PE,2023-01-28 17:51:00,-7.9589,-79.2392,71.73,68,40,8.05
138,Coffs Harbour,AU,2023-01-28 17:51:00,-30.3,153.1333,75.16,88,75,10.36
139,Nanortalik,GL,2023-01-28 17:52:01,60.1432,-45.2371,23.27,75,100,37.74
140,Hermanus,ZA,2023-01-28 17:50:32,-34.4187,19.2345,64.8,68,100,16.4
141,Egvekinot,RU,2023-01-28 17:52:01,66.3167,-179.1667,11.01,98,100,2.17
142,Dingle,PH,2023-01-28 17:52:01,10.9995,122.6711,74.17,93,95,13.38
143,North Bend,US,2023-01-28 17:52:01,43.4065,-124.2243,45.07,96,100,5.75
144,Cayenne,GF,2023-01-28 17:52:02,4.9333,-52.3333,77.04,83,75,10.36
145,Nikolskoye,RU,2023-01-28 17:52:02,59.7035,30.7861,22.89,87,97,11.45
146,Ajdabiya,LY,2023-01-28 17:52:03,30.7554,20.2263,58.33,60,1,7.18
147,Provideniya,RU,2023-01-28 17:52:03,64.3833,-173.3,19.54,96,100,2.1
148,Dembi Dolo,ET,2023-01-28 17:52:03,8.5333,34.8,69.24,38,40,4.63
149,Mahebourg,MU,2023-01-28 17:50:58,-20.4081,57.7,78.26,94,75,3.44
150,Boca Do Acre,BR,2023-01-28 17:52:04,-8.7522,-67.3978,76.73,94,92,4.9
151,Upernavik,GL,2023-01-28 17:51:29,72.7868,-56.1549,-1.23,92,100,1.72
